x,z
0.019562716,4.056795132
0.13693901,14.19878296
0.273878021,30.42596349
0.410817031,48.68154158
0.50863061,66.93711968
0.606444189,87.22109533
0.704257768,101.4198783
0.762945915,121.703854
0.841196778,141.9878296
0.899884925,156.1866126
0.939010357,182.5557809
1.01726122,206.8965517
1.075949367,231.2373225
1.036823936,253.5496957
1.115074799,271.8052738
1.115074799,292.0892495
1.193325662,316.4300203
1.252013809,334.6855984
1.291139241,352.9411765
1.291139241,379.3103448
1.349827388,401.6227181
1.408515535,421.9066937
1.408515535,456.3894523
1.428078251,478.7018256
1.467203682,492.9006085
1.52589183,507.0993915
1.545454545,531.4401623
1.604142693,543.6105477
1.623705409,559.8377282
1.623705409,578.0933063
1.721518987,598.3772819
1.760644419,618.6612576
1.79976985,634.8884381
1.936708861,661.2576065
2.014959724,681.5415822
2.054085155,709.9391481
2.191024166,730.2231237
2.327963176,736.3083164
2.445339471,742.3935091
2.660529344,730.2231237
2.914844649,711.9675456
2.993095512,701.8255578
3.090909091,677.484787
3.169159954,655.1724138
3.227848101,638.9452333
3.286536249,620.6896552
3.345224396,592.2920892
3.443037975,576.0649087
3.599539701,545.6389452
3.716915995,519.2697769
3.756041427,509.127789
3.83429229,492.9006085
3.83429229,482.7586207
3.912543153,462.474645
4.029919448,450.3042596
4.108170311,434.0770791
4.108170311,419.8782961
4.323360184,397.5659229
4.47986191,387.4239351
4.753739931,377.2819473
4.871116226,371.1967546
4.949367089,371.1967546
4.98849252,381.3387424
5.105868815,381.3387424
5.340621404,363.0831643
5.536248562,363.0831643
5.751438435,379.3103448
5.927502877,387.4239351
6.044879171,393.5091278
6.260069045,397.5659229
6.573072497,399.5943205
6.729574223,399.5943205
6.925201381,403.6511156
7.042577675,391.4807302
7.120828539,385.3955375
7.277330265,365.1115619
7.414269275,348.8843813
7.551208285,326.5720081
7.649021864,310.3448276
7.766398159,292.0892495
7.981588032,271.8052738
8.079401611,251.5212982
8.235903337,229.2089249
8.333716916,212.9817444
8.451093211,196.7545639
8.588032221,172.4137931
8.783659379,156.1866126
8.940161105,131.8458418
9.19447641,109.5334686
9.429228999,95.3346856
9.566168009,81.13590264
9.781357883,70.99391481
9.957422325,56.79513185
10.27042578,38.53955375
10.5443038,26.36916836
10.81818182,16.22718053
11.05293441,10.14198783
11.38550058,8.113590264
11.58112773,4.056795132
11.81588032,10.14198783
12.07019563,6.085192698
12.59838895,8.113590264
13.08745685,8.113590264
13.4004603,8.113590264
13.88952819,6.085192698
14.26121979,2.028397566
14.96547756,8.113590264
15.20023015,8.113590264
15.65017261,6.085192698
16.02186421,6.085192698
16.45224396,8.113590264
16.72612198,8.113590264
