eta,x,y
0.5,0.237485448,18.02575107
0.5,0.293364377,38.62660944
0.5,0.335273574,64.3776824
0.5,0.349243306,90.12875536
0.5,0.405122235,118.4549356
0.5,0.461001164,154.5064378
0.5,0.488940629,187.9828326
0.5,0.530849825,216.3090129
0.5,0.600698487,242.0600858
0.5,0.614668219,272.9613734
0.5,0.614668219,290.9871245
0.5,0.614668219,321.888412
0.5,0.656577416,350.2145923
0.5,0.656577416,378.5407725
0.5,0.698486612,401.7167382
0.5,0.712456345,432.6180258
0.5,0.726426077,471.2446352
0.5,0.782305006,504.72103
0.5,0.81024447,530.472103
0.5,0.838183935,563.9484979
0.5,0.838183935,587.1244635
0.5,0.880093132,607.7253219
0.5,0.922002328,633.4763948
0.5,0.949941793,664.3776824
0.5,0.99185099,700.4291845
0.5,1.047729919,728.7553648
0.5,1.047729919,757.0815451
0.5,1.061699651,780.2575107
0.5,1.11757858,808.583691
0.5,1.145518044,836.9098712
0.5,1.173457509,852.360515
0.5,1.215366705,862.6609442
0.5,1.271245634,883.2618026
0.5,1.355064028,903.8626609
0.5,1.396973225,937.3390558
0.5,1.410942957,975.9656652
0.5,1.452852154,993.9914163
0.5,1.522700815,975.9656652
0.5,1.606519208,963.0901288
0.5,1.732246799,963.0901288
0.5,1.760186263,978.5407725
0.5,1.788125728,999.1416309
0.5,1.844004657,1027.467811
0.5,1.92782305,1022.317597
0.5,1.969732247,1009.44206
0.5,2.025611176,996.5665236
0.5,2.05355064,975.9656652
0.5,2.067520373,952.7896996
0.5,2.193247963,937.3390558
0.5,2.235157159,919.3133047
0.5,2.332945285,901.2875536
0.5,2.472642608,901.2875536
0.5,2.584400466,896.1373391
0.5,2.654249127,893.5622318
0.5,2.724097788,870.3862661
0.5,2.779976717,849.7854077
0.5,2.863795111,829.1845494
0.5,2.933643772,803.4334764
0.5,2.989522701,772.5321888
0.5,3.031431898,746.7811159
0.5,3.04540163,721.0300429
0.5,3.101280559,703.0042918
0.5,3.143189756,679.8283262
0.5,3.268917346,669.527897
0.5,3.4225844,664.3776824
0.5,3.506402794,638.6266094
0.5,3.701979045,630.9012876
0.5,3.771827707,592.2746781
0.5,3.869615832,574.248927
0.5,4.023282887,569.0987124
0.5,4.107101281,548.4978541
0.5,4.232828871,545.9227468
0.5,4.330616997,530.472103
